43.242.33.48:8443#HK_1 [优选高速] [32ms 30Mbps]
103.118.40.177:8443#HK_2 [优选高速] [47ms 14Mbps]
38.207.174.111:443#HK_3 [优选高速] [47ms 14Mbps]
68.64.179.129:443#HK_4 [优选高速] [47ms 13Mbps]
168.107.32.255:443#KR_1 [优选高速] [62ms 15Mbps]
108.165.177.16:443#MY_1 [优选高速] [78ms 15Mbps]
108.165.177.214:443#MY_2 [优选高速] [94ms 17Mbps]
108.165.65.12:443#MY_3 [优选高速] [94ms 16Mbps]
161.117.181.127:443#SG_1 [优选高速] [78ms 18Mbps]
54.151.240.255:443#SG_2 [优选高速] [78ms 18Mbps]
54.255.212.53:443#SG_3 [优选高速] [78ms 17Mbps]
54.255.206.251:443#SG_4 [优选高速] [78ms 16Mbps]
54.251.197.173:443#SG_5 [优选高速] [78ms 13Mbps]
3.1.51.17:443#SG_6 [优选高速] [78ms 13Mbps]
54.151.149.199:443#SG_7 [优选高速] [78ms 13Mbps]
54.255.217.181:443#SG_8 [优选高速] [78ms 13Mbps]
54.151.142.61:443#SG_9 [优选高速] [78ms 13Mbps]
54.255.232.185:443#SG_10 [优选高速] [78ms 13Mbps]
54.169.214.154:443#SG_11 [优选高速] [78ms 12Mbps]
54.179.38.190:443#SG_12 [优选高速] [79ms 17Mbps]
54.255.215.190:443#SG_13 [优选高速] [94ms 13Mbps]
